#OTU ID	sample2	sample6	sample9	sample3	sample4	sample8	sample5	sample7	sample10	sample1
Zotu501	571	774	793	484	541	417	1167	1495	20	502
Zotu1666	387	543	801	270	296	298	884	1081	17	311
Zotu1778	1202	1640	2093	985	1048	859	2462	3126	26	1037
Zotu2473	197	290	395	153	176	141	472	580	9	179
Zotu532	515	165	182	84	95	73	253	324	2	77
Zotu757	1058	1506	2115	866	873	755	2301	2894	31	901
Zotu1287	5270	48	10590	31	15	31	26	23	69	4971
Zotu2420	960	1479	1948	863	890	821	2234	2843	36	884
Zotu1218	747	935	1235	615	657	520	1491	1914	24	664
Zotu860	612	834	1119	501	502	426	1197	1578	17	499
Zotu590	618	9195	670	1801	1749	4095	6565	30	52	304
Zotu3465	451	589	759	365	372	331	932	1160	22	387
Zotu825	308	389	511	218	235	230	584	803	4	226
Zotu2647	954	1243	1737	712	797	662	1968	2509	33	696
Zotu870	9215	136	29566	74	35	90	75	56	211	11529
Zotu3098	58	2623	90	446	434	1217	1959	12	10	35
Zotu208	145	175	202	99	101	79	233	302	1	90
Zotu441	706	12332	746	1877	1897	5557	9083	47	74	274
Zotu614	175	196	281	131	132	109	361	421	4	126
Zotu410	88	133	168	85	84	69	195	263	0	75
Zotu198	951	1392	1830	773	781	663	2041	2780	30	782
Zotu3063	209	6829	129	833	883	3244	5011	23	31	50
Zotu2189	4979	37	10018	44	19	29	36	37	72	4407
Zotu1227	750	1130	1558	496	606	547	1591	2047	24	612
Zotu2569	1797	20	2707	11	7	10	11	8	33	1244
Zotu1163	947	10889	599	2760	2647	5257	8952	50	73	247
Zotu3555	269	321	425	213	177	175	475	640	5	212
Zotu228	99	168	232	100	98	100	309	376	6	125
Zotu1487	1060	1387	1779	867	893	688	2094	2677	27	961
Zotu1523	9934	85	18344	63	37	61	51	48	171	7790
Zotu2202	886	13	1133	29	15	34	12	27683	59	547
Zotu547	38	1724	17	190	147	826	1352	4	6	9
Zotu55	164	195	229	151	130	120	313	375	9	120
Zotu394	48	6120	51	780	741	2889	4530	19	37	25
Zotu127	99	159	214	83	113	82	225	299	6	93
Zotu1085	829	1091	1149	585	695	572	1688	2140	30	658
Zotu2134	88	107	146	77	75	55	162	226	3	84
Zotu3018	196	0	208	0	0	1	1	0	2	110
Zotu476	334	411	583	299	280	225	682	860	2	279
Zotu3525	71	86	108	56	61	54	145	155	1	48
Zotu1055	288	351	521	179	247	203	507	705	3	236
Zotu3005	3268	37	6657	21	11	22	23	33	56	2799
Zotu2546	2418	28	5294	23	7	17	15	21	44	2343
Zotu354	404	786	1092	443	466	385	1272	1609	15	468
Zotu1648	1339	10935	2217	1539	1671	5386	6288	59	78	986
Zotu2094	6529	87	18667	52	22	46	53	63	142	8701
Zotu286	380	502	624	270	293	214	708	949	12	316
Zotu3250	199	0	224	0	0	2	2	0	3	109
Zotu2247	682	964	1411	483	589	517	1505	1982	29	584
Zotu2093	54	55	90	33	47	33	85	124	0	37
Zotu1298	259	302	362	185	196	165	456	582	3	203
Zotu1300	589	830	1017	480	470	407	1197	1653	12	524
Zotu2660	1481	15	3390	9	7	10	7	9	32	1486
Zotu2121	4685	48	8766	37	15	23	20	30	64	3919
Zotu653	937	1225	1537	772	845	620	1803	2191	21	788
Zotu518	7	14	12	9	6	5	17	19	0	3
Zotu372	775	1092	1533	586	664	585	1647	2154	24	641
Zotu2436	1352	4	1036	2	1	4	6	4	17	519
Zotu3057	47	55	92	35	32	34	105	128	4	31
Zotu1314	21	32	41	16	31	15	54	75	1	13
Zotu340	353	448	639	245	277	247	708	935	12	266
Zotu2795	19	112	8	27	23	47	79	2	0	3
Zotu940	213	4831	163	848	912	2400	3558	21	26	50
Zotu195	45	53	84	30	36	34	73	115	0	33
Zotu3524	16	431	13	54	69	198	310	2	4	3
Zotu2456	2	4	4	0	4	0	6	17	0	6
Zotu1829	4616	67	13461	31	14	33	38	31	87	5545
Zotu1209	4403	35	10787	16	18	36	32	27	81	4681
Zotu423	527	647	897	422	389	370	1082	1344	18	406
Zotu551	208	207	339	131	157	129	386	479	2	131
Zotu455	566	802	1053	437	471	381	1147	1510	12	446
Zotu2719	454	9	650	5	3	14	7	10096	18	276
Zotu2641	3161	32	5931	18	10	19	17	9	30	2762
Zotu252	6804	76	11799	25	11	39	44	26	113	5416
Zotu375	30	77	95	44	43	44	101	146	1	39
Zotu2924	861	1371	1755	800	818	726	2127	2744	19	889
Zotu1273	52	73	110	34	30	44	133	120	2	45
Zotu3493	392	524	647	267	314	247	729	934	16	322
Zotu124	65	69	132	54	42	49	150	156	3	55
Zotu406	501	711	1013	381	405	398	1161	1475	17	408
Zotu1394	175	207	287	120	133	109	291	393	4	141
Zotu2658	5235	77	22136	57	34	63	45	47	127	7795
Zotu2471	367	509	758	313	359	321	838	1113	12	316
Zotu1437	153	224	235	116	117	107	265	344	5	109
Zotu3462	2198	20	4475	10	6	11	26	13	42	1978
Zotu2097	5304	69	13280	52	22	39	37	72	85	6451
Zotu1281	655	778	1095	487	517	411	1340	1585	14	493
Zotu2366	259	364	511	200	198	194	594	699	7	231
Zotu549	5635	54	9043	28	17	25	24	30	71	4327
Zotu1001	959	1403	1865	715	818	758	2184	2709	32	792
Zotu2664	70	348	35	118	127	163	275	4	3	14
Zotu2754	88	74	113	58	51	39	127	157	2	49
Zotu1883	796	12	1268	16	9	56	8	30667	53	583
Zotu233	131	225	286	128	132	104	336	424	8	132
Zotu2713	6878	157	22803	77	44	90	100	310	155	9124
Zotu1143	1533	9864	3092	1686	1640	4479	6784	43	71	1467
Zotu1656	1071	1710	2475	877	1026	854	2614	3308	31	965
Zotu1083	2673	11780	2781	2931	2976	5443	9133	53	96	1383
Zotu1807	94	109	127	66	72	58	166	230	4	69
Zotu2714	3100	36	7345	20	12	17	27	12	44	2875
Zotu62	7100	71	13722	28	20	47	34	22	109	6505
Zotu1840	38	35	43	22	25	16	57	85	1	36
Zotu808	387	521	566	320	300	225	742	1000	9	338
Zotu2675	1385	17	2987	9	2	6	6	4	17	1316
Zotu1195	432	174	212	93	100	86	265	310	3	92
Zotu584	523	9997	249	1853	1795	4500	7501	31	64	127
Zotu3359	413	3357	552	666	728	1517	2269	14	23	248
Zotu1877	858	3963	3021	549	536	1796	2877	25	34	1287
Zotu335	10022	104	24780	83	40	58	56	52	174	10372
Zotu1823	1220	15758	1830	2708	2858	7525	11550	49	91	759
Zotu2621	3554	21	7581	21	15	24	23	24	67	3325
Zotu2498	4345	62	13863	41	17	48	39	30	112	5523
Zotu1082	344	471	549	280	264	232	649	830	6	278
Zotu292	652	10	874	10	13	26	6	19322	40	405
Zotu623	116	127	189	97	76	75	204	250	2	87
Zotu2462	197	2846	59	455	454	1300	2065	4	20	24
Zotu1177	115	100	193	75	98	61	203	244	5	100
Zotu628	8378	88	18061	47	33	43	47	30	146	7509
Zotu1898	72	3104	23	631	637	1453	2416	16	26	14
Zotu3268	139	217	271	173	145	110	327	440	5	158
Zotu1261	592	856	1045	466	505	420	1237	1660	17	483
Zotu1557	112	5214	93	362	341	2325	3204	16	21	40
