#OTU ID	sample2	sample6	sample9	sample3	sample4	sample8	sample5	sample7	sample10	sample1
OTU_8	47751	81788	108365	47805	50754	43225	126993	162407	1650	51029
OTU_6	66388	118427	161251	64776	69620	63089	184289	235985	2436	69024
OTU_257	58007	17361	22935	9781	10480	9058	27196	34810	396	10304
OTU_16	119940	4803	21794	3405	3573	2131	2253	7767	327	8621
OTU_15	107081	7101	17329	3640	3908	3247	4103	5236	318	7727
OTU_402	79	220	116	31	16	299	108	1242	16	448
OTU_9	9800	275946	111454	26558	27131	126635	155380	90187	2123	47035
OTU_193	34055	974	4380	667	673	461	296	1274	76	1875
OTU_146	908	445	2709	115	123	785	445	2675	19	790
OTU_1	60662	103863	137852	63657	65769	54898	160646	208508	2125	64897
OTU_341	125	56	76	29	101	40	5	28	23	81
OTU_3	10320	65631	117412	2241	1908	29891	26332	417847	1687	52688
OTU_321	396	170	80	160	276	267	41	166	31	117
OTU_139	559	201	870	871	498	336	472	441	210	482
OTU_273	304	410	1565	130	174	266	121	841	153	662
OTU_11	6479	31027	84503	2216	1954	14502	14834	361800	1268	33540
OTU_407	1053	229	40	183	236	391	340	822	120	556
OTU_4	16065	502569	185945	40255	39970	240142	276925	113199	3409	75673
OTU_261	126	50	8	265	153	8	107	421	120	359
OTU_14	5117	21611	58293	807	689	10018	11640	248548	852	26299
OTU_544	357	795	530	646	1162	544	176	535	10	332
OTU_19	2731	21841	4582	71483	72206	9766	12082	910	336	1957
OTU_212	356	738	1199	156	711	2652	973	333	3605	2097
OTU_20	5377	10811	8630	77	2584	5944	13346	11131	602	2643
OTU_23	1420	3450	2336	1282	5512	4272	1610	4550	8957	3803
OTU_270	215	60	103	1539	920	5	8	9	6	77
OTU_97	262	256	433	108	741	155	1039	171	816	1109
OTU_208	915	24	0	33	60	159	665	49	157	22
OTU_110	967	416	1394	934	1195	940	213	636	195	796
OTU_105	1014	918	395	36	985	1282	692	1711	146	1202
OTU_88	1306	3146	2295	1144	5137	3958	1579	4409	9126	3609
OTU_232	537	770	1180	990	789	902	383	380	63	350
OTU_127	653	1357	1826	56	1083	1702	1170	2511	100	111
OTU_138	126	286	838	20	72	572	410	750	369	1358
OTU_593	2255	3468	4111	2013	2322	1478	3695	711	40	2629
OTU_314	54	148	258	2	147	475	29	95	1208	90
OTU_567	653	129	1	158	179	1615	100	179	4	24
OTU_317	505	12	43	92	740	116	236	249	4	68
OTU_101	2998	6922	5328	48	1467	3380	7943	6625	329	1456
OTU_262	1641	6	1	6	0	0	4	0	1	0
OTU_568	215	121	24	15	28	570	236	346	36	121
OTU_145	406	1504	2191	118	431	1041	527	2020	263	708
OTU_526	583	16	1	550	737	509	620	22	5	81
OTU_209	2297	4417	5566	2610	2720	2136	6660	8855	103	2627
OTU_98	1263	7719	735	450	668	830	2560	8707	869	1921
OTU_25	895	13706	2628	299	1142	9853	4285	20344	710	4397
OTU_136	158	1760	206	94	594	926	1016	1123	11	373
OTU_13	4586	24752	4486	75595	74679	11661	11296	727	402	2173
OTU_130	239	3829	3343	12	336	1215	3003	4239	313	376
OTU_419	199	120	155	41	22	313	105	217	102	153
OTU_47	840	498	33	76	822	2355	1004	2098	169	206
OTU_155	4	6	12	4	0	0	1	1	1783	2
OTU_183	202	2651	264	2	79	2465	285	751	620	307
OTU_81	137	39	185	29	311	786	263	568	6	131
OTU_207	133	292	114	82	135	399	159	1678	78	178
OTU_229	476	26	187	317	118	6	79	3	70	25
OTU_85	768	7385	1028	276	538	3476	2420	8436	336	2402
OTU_290	137	33	58	0	51	742	53	34	815	56
OTU_120	1137	3131	2131	1062	4423	3596	1398	4045	8301	3101
OTU_147	707	777	1263	396	2409	448	2822	492	2426	3357
OTU_518	927	635	1614	662	591	291	177	1591	11	1277
OTU_348	6	404	14	1	16	1276	91	262	963	20
OTU_128	854	403	2742	58	125	789	343	2509	19	811
OTU_292	448	191	780	782	436	282	438	379	232	510
OTU_24	904	75078	22391	3084	3074	34916	220447	7136	1002	8796
OTU_200	916	822	1492	1772	1488	1213	409	2252	311	1033
OTU_243	278	1934	182	84	125	193	636	2203	230	433
OTU_36	430	1300	253	158	505	770	834	2680	38	1164
OTU_538	377	316	412	371	512	102	104	420	111	453
OTU_315	486	5441	851	148	434	3021	1850	6829	210	1742
OTU_562	505	253	30	1	6	39	68	55	87	151
OTU_549	44	12	0	73	18	1	125	27	2	62
OTU_230	218	1879	187	134	251	234	766	1887	136	449
OTU_29	72	6	10	5171	3046	1	11	1401	6500	10
OTU_365	300	1034	241	68	280	2137	351	469	16	591
OTU_604	103	253	10	886	776	5	68	43	36	298
OTU_87	247	1796	818	388	1059	1035	193	679	28	321
OTU_7	12	27	18	5	13	22	21	22	30	6
OTU_153	295	844	165	104	295	489	589	1810	23	751
OTU_575	185	112	18	62	83	221	34	115	150	196
OTU_32	130	400	303	59	123	457	209	1026	27	197
OTU_349	495	368	0	1	1	0	27	1	7	119
OTU_176	233	340	1336	106	411	21	65	46	21	248
OTU_360	84	217	234	6	116	3179	216	89	980	102
OTU_590	122	39	309	86	137	213	53	76	359	182
OTU_289	324	240	106	6	271	334	186	476	16	331
OTU_397	154	28	386	5	42	1	26	0	0	6
OTU_70	832	807	1343	855	752	1334	314	2453	353	703
