#OTU ID	sample5	sample3	sample4	sample8	sample2	sample10	sample1	sample6	sample9	sample7
OTU_1	117518	573289	468359	50098	555229	3040	414465	93550	23737	124506
OTU_78	171	1428	1116	61	12	4	792	182	281	179
OTU_1113	125	0	0	61	1333	2	226	15	38	0
OTU_75	1941	3	1	0	0	3	0	0	4	0
OTU_38	505	14	97	185	2102	45	1709	299	16	165
OTU_297	955	10	0	103	57	17	1592	284	3596	960
OTU_612	528	0	0	37	102	16	1	103	0	153
OTU_855	43	4	15	1	106	0	0	6	108	8
OTU_1119	82	0	0	0	0	0	0	0	0	1
OTU_509	875	0	0	20	23	1	16	118	11	0
OTU_1390	13	0	0	0	0	0	0	0	0	0
OTU_734	330	1	0	0	0	0	1	0	0	0
OTU_1126	48	0	0	0	54	0	1	0	0	0
OTU_868	77	0	0	0	5	0	0	0	0	0
OTU_688	83	0	0	0	401	1	0	3	0	8
OTU_582	812	3	0	111	145	5	19	58	1	631
OTU_805	88	0	0	9	0	0	0	38	0	9
OTU_497	399	0	0	0	2	1	963	443	1	50
OTU_414	416	23	1303	764	147	22	3	769	1428	816
OTU_642	227	1	498	0	0	0	0	0	0	32
OTU_3	1652	1450	5142	16	14636	60	4899	24	300	104
OTU_829	286	1	0	0	0	0	0	1	3	0
OTU_828	410	0	1	0	0	0	0	0	0	0
OTU_619	491	2	191	20	23	1	1	2	14	286
OTU_1123	57	0	0	43	0	0	0	1	0	0
OTU_768	92	1	0	1	122	1	10	118	123	2
OTU_244	82	56	181	8	375	0	113	7	47	5
OTU_155	597	0	1	0	1	1	0	1	0	0
OTU_627	170	8	1	21	15	5	279	49	1415	148
OTU_876	113	1	0	0	5	0	0	0	0	0
OTU_743	480	0	0	0	0	0	0	0	0	0
OTU_346	36	0	0	0	0	0	0	0	0	0
OTU_825	28	0	0	256	57	124	1	0	7	37
OTU_1027	137	1	1	73	1	1	0	1120	1	0
OTU_722	271	0	0	0	0	1	0	36	2	0
OTU_792	548	1	1	409	221	1	855	216	49	0
OTU_852	147	1	0	0	0	0	0	0	0	0
OTU_1071	57	0	0	0	0	0	0	23	0	41
OTU_1121	32	1	0	16	0	0	0	0	0	0
OTU_186	28	2	91	0	222	1	6	0	4	0
OTU_330	241	3	1	90	159	8	5981	32	38	0
OTU_374	461	2	0	2859	1	4	0	407	1	0
OTU_7	3	9	5	1	13780	10	0	4	2	2
OTU_27	38	45	2348	13	5215	10	605	44	91	7
OTU_988	104	0	0	12	12	0	3	17	0	58
OTU_885	107	0	0	0	0	0	0	0	1	0
OTU_882	225	0	0	0	2	1	2	0	0	0
OTU_446	31	0	0	0	0	0	0	0	0	0
OTU_763	213	0	0	0	0	0	4	0	0	0
OTU_1036	44	0	0	0	0	0	0	0	0	0
OTU_1250	1	0	0	0	0	2	0	0	0	0
OTU_565	58	1	0	35	0	0	10	38	14	68
OTU_46	26	19	3305	1	15	8	64	0	2	0
OTU_731	28	0	0	0	0	1	0	262	5	1
OTU_137	177	136	380	1	233	7	321	5	52	9
OTU_591	111	8	43	5	129	0	13	6	94	252
OTU_1125	42	0	0	0	0	0	0	0	0	0
OTU_1237	4	0	0	0	1	0	0	0	0	38
OTU_1026	172	0	0	0	0	0	0	0	0	0
OTU_1211	7	0	0	0	110	0	110	31	0	133
