#OTU ID	sample8	sample1	sample6	sample5	sample4	sample9	sample2	sample3	sample7	sample10
OTU_634	845	0	0	0	0	0	0	1	0	0
OTU_132	9725	0	0	0	1	2	77	4	1	46
OTU_5546	163	0	0	0	0	0	0	0	0	0
OTU_1027	473	0	1	1	0	0	0	0	0	1
OTU_3	176617	52	121914	47515	68	157	40	260	29	558
OTU_679	24965	41005	17674	31691	17	582	96	74	5	116
OTU_247	7756	0	0	0	0	3	0	2	0	1
OTU_605	875	0	0	0	0	0	0	0	0	0
OTU_123	7398	2	47	0	0	1	0	6	1276	8
OTU_1904	5881	0	1553	109	0	5	1	2	513	11
OTU_83	6392	0	0	1	0	196	866	5	1	3785
OTU_13	37252	12	5931	16463	14454	67678	6223	120	6705	814
OTU_70	2940	1	1	9791	4	666	554	13	0	262
OTU_264	2499	0	1	0	2	0	0	5	0	1
OTU_360	1513	0	0	0	0	0	0	0	0	2
OTU_807	920	0	0	0	2	1	0	0	0	3
OTU_124	5876	0	0	33	1	259	1	3	0	7
OTU_269	3635	0	56	1	3	1	0	1	2	2154
OTU_424	1623	0	0	0	0	0	0	1	0	2
OTU_22	25814	23709	19093	197	11	1701	91	18	90	108
OTU_127	5776	0	0	0	1	1	0	2	1	4
OTU_268	3223	0	3	1	0	1	0	0	0	4
OTU_884	378	0	0	0	0	0	0	0	0	1
OTU_1954	110	0	0	0	0	0	0	1	0	0
OTU_135	6072	0	0	178	0	1	1	4	0	0
OTU_157	5174	0	0	0	1	1	0	2	1	7
OTU_147	8268	0	0	0	3	5	0	3	1	34
OTU_1111	260	0	0	0	0	0	0	0	0	0
OTU_117	12671	30	1	60	0	1	0	4	56	15
OTU_514	1963	0	1	0	0	0	0	0	0	3
OTU_158	1128	87	166	3	2	4	1	1	103	7484
OTU_1297	170	0	0	0	0	0	0	0	0	0
OTU_835	627	0	0	0	0	0	0	0	0	2
OTU_328	1781	0	2	0	0	0	0	1	0	65
OTU_172	91	3188	900	0	0	12	222	3	1228	307
