#OTU ID	sample1	sample8	sample3	sample5	sample7	sample4	sample2	sample6	sample9	sample10
OTU_57	900	0	1	418	54	0	1	417	1	0
OTU_294	52	0	0	0	0	0	0	0	0	0
OTU_32	5222	196	496	478	481	400	445	374	92	8
OTU_17	133	0	0	0	0	0	0	0	0	0
OTU_11	2189	513	9411	1206	1267	8020	8984	953	230	50
OTU_507	94	0	0	0	0	0	0	0	0	0
OTU_77	670	0	0	24	0	0	1	2	0	0
OTU_328	70	0	1	0	0	0	0	0	0	0
OTU_29	1884	161	12	1099	1093	0	63	320	4859	28
OTU_209	315	0	1	0	0	0	0	0	0	2
OTU_108	176	0	0	0	0	0	0	0	0	0
OTU_97	444	0	0	0	0	0	0	0	0	0
OTU_49	18	94	0	785	591	0	122	56	0	3
OTU_30	6115	144	4	280	0	0	224	80	35	12
OTU_296	38	0	0	0	0	0	0	0	0	0
OTU_226	95	0	0	0	0	0	0	0	0	0
OTU_274	150	0	0	3	46	0	0	1	0	0
OTU_193	518	0	9	0	0	0	0	0	0	0
OTU_298	84	0	0	0	29	0	0	0	0	0
OTU_7	500	0	1	0	0	0	0	0	0	2
OTU_302	106	0	0	0	0	0	0	0	0	0
OTU_335	23	0	0	0	0	0	0	18	0	0
OTU_178	233	0	0	0	0	0	0	0	0	0
OTU_384	142	0	0	0	0	0	0	0	0	0
OTU_169	5	1	0	0	0	0	0	0	1	0
OTU_51	1294	345	1051	824	873	942	1027	635	160	12
OTU_78	352	57	9	5	0	1	9	1	1	0
OTU_14	251	0	0	0	0	0	0	0	0	0
OTU_94	177	0	2	3	81	0	293	27	0	0
OTU_350	131	0	0	0	110	0	0	0	0	0
OTU_305	78	0	0	0	0	0	0	0	0	0
OTU_130	488	0	0	0	0	0	1	1	17	30
OTU_429	39	0	0	0	0	0	0	0	0	0
OTU_69	1	21	0	37	441	0	0	38	0	2
OTU_15	711	0	0	0	0	0	0	0	1	1
OTU_201	263	0	0	0	0	0	0	0	0	0
OTU_174	132	0	0	0	0	0	0	0	0	1
OTU_487	65	0	0	0	0	0	1	0	0	1
OTU_188	105	0	0	0	0	0	9	0	0	0
OTU_257	59	67	10	2	2	2	1	1	0	0
OTU_45	589	657	1	3	1	0	2	438	41	2
OTU_264	150	0	0	0	0	0	0	0	0	0
OTU_272	240	0	0	0	0	0	0	0	1	0
OTU_308	15	0	77	0	0	17	17	1	1	1
OTU_238	9	10	735	34	22	609	734	18	5	1
OTU_185	132	0	0	0	0	0	0	0	0	0
OTU_21	112	0	0	0	0	0	0	0	0	0
OTU_4	456	0	1	0	0	0	0	0	0	0
OTU_95	301	1	0	0	0	0	10	11	367	0
OTU_276	9	0	2	0	0	0	0	74	29	1
OTU_477	20	0	0	0	5	0	0	1	0	0
OTU_2	389	0	2	0	0	517	158	1	0	1
OTU_282	114	0	0	0	1	0	0	4	0	0
OTU_426	8	1	0	0	0	46	76	1	1	0
OTU_191	74	0	0	0	0	0	0	0	0	0
OTU_19	140	0	0	0	0	0	0	0	0	1
OTU_301	60	0	0	0	0	0	0	0	0	0
OTU_132	303	0	1	0	23	0	0	0	0	0
OTU_171	106	0	0	0	0	0	0	115	15	0
OTU_393	29	3	0	0	0	0	0	1	0	0
OTU_291	84	0	0	0	2	0	0	0	0	0
OTU_284	39	0	0	0	0	0	0	0	0	0
OTU_362	13	4	14	1	3	22	0	3	4	0
OTU_141	140	0	0	0	0	0	0	0	1	0
OTU_327	16	0	1	1	0	50	2	0	0	0
OTU_279	121	0	0	0	0	0	0	0	0	0
OTU_137	5	5	0	0	13	1	1	544	0	0
OTU_231	101	0	0	0	0	0	0	0	0	0
OTU_332	33	0	0	3	0	142	0	0	0	0
OTU_33	5	0	32	0	1	1	0	0	0	1
OTU_3	478	15	29	17	0	1	0	14	212	5
OTU_361	73	0	0	0	0	0	1	0	0	0
OTU_466	32	13	0	2	28	0	2	7	22	4
OTU_195	55	0	0	0	0	0	0	0	0	0
OTU_12	38	0	134	0	0	11	5	0	0	0
OTU_285	33	0	0	0	0	0	0	0	0	0
OTU_513	33	0	0	0	0	0	0	0	0	0
OTU_218	40	0	0	0	0	0	0	0	0	0
OTU_338	30	299	0	98	21	0	247	10	0	4
OTU_28	36	1	1	1	0	1	1	0	6	0
OTU_90	79	0	35	18	1	85	270	0	7	3
OTU_297	104	0	0	0	0	0	0	0	0	0
OTU_421	52	0	0	0	0	0	0	0	0	0
OTU_295	90	0	0	0	0	0	0	0	0	0
OTU_486	198	101	0	166	0	1	1232	45	13	2
OTU_155	151	0	0	0	0	0	0	0	0	0
OTU_439	12	0	0	0	0	0	143	0	29	0
OTU_418	5	0	0	0	0	18	1	0	1	0
OTU_277	97	0	0	0	0	4	0	0	0	0
OTU_288	119	0	0	0	0	0	0	0	0	0
OTU_187	101	0	96	8	15	13	17	22	0	11
OTU_482	21	0	0	0	0	0	9	0	0	0
OTU_357	17	0	0	4	4	0	0	68	0	0
OTU_24	117	0	0	0	0	0	1	0	0	0
OTU_388	83	0	0	0	1	0	6	0	0	0
OTU_275	61	0	0	0	5	0	2	6	0	0
OTU_415	30	0	0	0	0	0	0	0	0	1
OTU_158	18	0	0	0	35	0	0	226	0	0
OTU_119	57	2	3	0	0	0	1	555	0	2
OTU_70	39	0	1	0	983	0	0	0	0	0
OTU_309	65	0	0	0	0	0	0	0	0	0
OTU_423	72	0	0	0	28	0	0	0	0	0
OTU_348	37	0	0	0	5	0	0	8	0	0
OTU_365	45	65	0	0	22	0	11	3	0	4
OTU_300	53	0	0	0	0	0	0	0	0	0
OTU_56	3	25	4	573	482	246	92	0	55	2
OTU_23	6	0	2	0	0	63	0	0	0	0
OTU_441	16	0	0	0	0	0	0	0	0	0
OTU_10	55	0	93	0	0	102	56	1	0	1
