OTU_ID	Domain	D_Score	Phylum	P_Score	Class	C_Score	Subclass	SC_Score	Order	O_Score	Suborder	SO_Score	Family	F_Score	Genus	G_Score
OTU_1	Bacteria	0.98	Proteobacteria	0.36	Alphaproteobacteria	0.17	NA	NA	NA	NA	NA	NA	NA	NA	Eilatimonas	0.12
OTU_2	Archaea	0.19	Woesearchaeota	0.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Woesearchaeota Incertae Sedis AR20	0.03
OTU_3	Bacteria	1.0	Cyanobacteria/Chloroplast	1.0	Chloroplast	1.0	NA	NA	NA	NA	NA	NA	Chloroplast	1.0	Streptophyta	1.0
OTU_4	Bacteria	1.0	Cyanobacteria/Chloroplast	1.0	Chloroplast	1.0	NA	NA	NA	NA	NA	NA	Chloroplast	1.0	Streptophyta	1.0
OTU_5	Bacteria	1.0	Cyanobacteria/Chloroplast	0.94	Chloroplast	0.94	NA	NA	NA	NA	NA	NA	Chloroplast	0.94	Streptophyta	0.77
OTU_6	Bacteria	0.94	Proteobacteria	0.35	Alphaproteobacteria	0.18	NA	NA	NA	NA	NA	NA	NA	NA	Eilatimonas	0.1
OTU_7	Bacteria	0.86	Proteobacteria	0.2	Gammaproteobacteria	0.12	NA	NA	Gammaproteobacteria_incertae_sedis	0.09	NA	NA	NA	NA	Candidatus Carsonella	0.07
OTU_8	Bacteria	0.97	Proteobacteria	0.4	Alphaproteobacteria	0.23	NA	NA	NA	NA	NA	NA	NA	NA	Eilatimonas	0.12
OTU_9	Bacteria	1.0	Cyanobacteria/Chloroplast	1.0	Chloroplast	1.0	NA	NA	NA	NA	NA	NA	Chloroplast	1.0	Streptophyta	1.0
OTU_10	Bacteria	0.99	Cyanobacteria/Chloroplast	0.95	Chloroplast	0.95	NA	NA	NA	NA	NA	NA	Chloroplast	0.95	Streptophyta	0.78
OTU_11	Bacteria	1.0	Cyanobacteria/Chloroplast	1.0	Chloroplast	1.0	NA	NA	NA	NA	NA	NA	Chloroplast	1.0	Streptophyta	1.0
