OTUID,Kingdom,conf,Phylum,conf,Class,conf,Order,conf,Family,conf,Genus,conf
OTU_8,Fungi,1,Ascomycota,1,Sordariomycetes,0.98,Xylariales,0.5488,Amphisphaeriaceae,0.2031,Pestalotiopsis,0.0487
OTU_3,Fungi,1,Ascomycota,1,Leotiomycetes,0.56,Helotiales,0.3136,Incertae_Sedis,0.116,Chaetomella,0.0244
OTU_18,Fungi,1,Basidiomycota,1,Tremellomycetes,0.65,Tremellales,0.4225,uncultured_Boletaceae,0.1394,,
OTU_24,Fungi,1,Basidiomycota,1,Agaricomycetes,0.91,Boletales,0.2821,Hygrophoropsidaceae,0.0536,Leucogyrophana,0.0102
OTU_27,Fungi,1,Ascomycota,1,Leotiomycetes,0.3,Medeolariales,0.09,Medeolariaceae,0.027,Medeolaria,0.0081
OTU_38,Fungi,0.62,Incertae_Sedis,0.372,Incertae_Sedis,0.2232,Mortierellales,0.1339,uncultured_Eimeriidae,0.0455,,
OTU_43,Fungi,0.99,Incertae_Sedis,0.8514,Incertae_Sedis,0.8344,Endogonales,0.7176,Mucoromycotina_sp._JD92,0.0861,,
OTU_46,Fungi,1,Basidiomycota,0.99,Agaricomycetes,0.9801,Boletales,0.2646,Boletinellaceae,0.0265,Phlebopus,0.0024
OTU_61,Fungi,1,Chytridiomycota,1,Incertae_Sedis,1,Chytridiomycetes,1,Chytridiales,1,f:Synchytriaceae,1
OTU_74,Fungi,0.77,Chytridiomycota,0.3619,Incertae_Sedis,0.1773,Chytridiomycetes,0.0833,Spizellomycetales,0.0242,uncultured_Chytridiomycota,0.006
OTU_79,Fungi,1,Ascomycota,1,Sordariomycetes,0.99,Hypocreales,0.9801,Ophiocordycipitaceae,0.3528,Elaphocordyceps,0.12
OTU_83,Fungi,0.99,Chytridiomycota,0.8316,Incertae_Sedis,0.7152,Chytridiomycetes,0.6007,Polychytriales,0.1802,f:Incertae_Sedis,0.0559
OTU_98,Fungi,1,Chytridiomycota,1,Incertae_Sedis,1,Chytridiomycetes,1,Chytridiales,1,Chytriomyces_sp._JEL378,0.51
OTU_107,Fungi,1,Ascomycota,1,Saccharomycetes,1,Saccharomycetales,1,Saccharomyces_cerevisiae,,,
OTU_116,Fungi,0.93,Chytridiomycota,0.7254,Incertae_Sedis,0.5803,Chytridiomycetes,0.4468,Chytridiales,0.1966,uncultured_Chytridiomycota,0.0629
OTU_135,Fungi,1,Chytridiomycota,0.95,Incertae_Sedis,0.95,Chytridiomycetes,0.9025,Chytridiales,0.8574,uncultured_Chytridiales,0.5401
OTU_168,Fungi,0.94,Chytridiomycota,0.8178,Incertae_Sedis,0.7115,Chytridiomycetes,0.619,Chytridiales,0.489,f:Chytridiaceae,0.3814
OTU_184,Fungi,0.97,Chytridiomycota,0.9021,Incertae_Sedis,0.875,Chytridiomycetes,0.8138,Chytridiales,0.7568,uncultured_Chytridiales,0.3784
OTU_186,Fungi,1,Ascomycota,1,Lecanoromycetes,0.62,Pertusariales,0.0558,Icmadophilaceae,0.0039,Siphula,0.0002
OTU_187,Fungi,0.91,Chytridiomycota,0.2912,Incertae_Sedis,0.099,Chytridiomycetes,0.0317,Fimicolochytrium_alabamae,0.006,,
OTU_192,Fungi,1,Ascomycota,1,Dothideomycetes,0.96,Capnodiales,0.7872,Teratosphaeriaceae_sp._MUT_4958,0.2991,,
OTU_198,Fungi,1,Ascomycota,1,Archaeorhizomycetes,0.99,Archaeorhizomycetales,0.9801,Archaeorhizomycetaceae,0.9703,Archaeorhizomyces,0.9606
OTU_199,Fungi,1,Ascomycota,1,Dothideomycetes,1,Pleosporales,0.97,Sporormiaceae,0.1164,Preussia,0.014
OTU_203,Fungi,1,Ascomycota,1,Sordariomycetes,1,Sordariales,0.94,uncultured_Sordaria,0.5076,,
OTU_213,Fungi,1,Basidiomycota,1,Agaricomycetes,1,Russulales,0.86,Russulaceae,0.731,Russula,0.5336
OTU_226,Fungi,0.99,Ascomycota,0.9702,Leotiomycetes,0.7568,Helotiales,0.4995,Leotiaceae,0.3246,Alatospora,0.211
OTU_245,Fungi,1,Glomeromycota,1,Glomeromycetes,1,Glomerales,1,uncultured_Glomus,0.69,,
OTU_256,Fungi,0.3,Basidiomycota,0.048,Agaricomycetes,0.0077,Boletales,0.0005,Boletaceae,0,Strobilomyces,0
OTU_269,Fungi,1,Ascomycota,0.98,Sordariomycetes,0.8918,Xylariales,0.1873,Incertae_Sedis,0.0375,Liberomyces,0.0056
OTU_274,Fungi,0.91,Incertae_Sedis,0.2912,Incertae_Sedis,0.2446,Endogonales,0.0758,Mucoromycotina_sp._WR148.B-B,0.0136,,
OTU_285,Fungi,0.77,Chytridiomycota,0.462,Incertae_Sedis,0.3142,Chytridiomycetes,0.1822,Chytridiales,0.0948,f:Synchytriaceae,0.0455
OTU_287,Fungi,1,Ascomycota,1,Dothideomycetes,0.99,Pleosporales,0.9801,uncultured_fungus,0.4704,,
OTU_292,Fungi,0.97,Chytridiomycota,0.8342,Incertae_Sedis,0.7424,Chytridiomycetes,0.6385,Chytridiales,0.5236,uncultured_Chytridiales,0.2147
