OTU_ID	Rank_1	Rank_2	Rank_3	Rank_4	Rank_5	Rank_6	Rank_7	Rank_8	Isolate	Isolate_percent_id
OTU_1	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Xanthobacteraceae_1	Bradyrhizobium_1			12_200_B4	90.873
OTU_2	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Rhizobiaceae_1	Allorhizobium-neorhizobium-pararhizobium-rhizobium_1			8_40_B7	98.400
OTU_3	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Micrococcales_1	Micrococcaceae_1	Pseudarthrobacter_1			3_100_B2	100.000
OTU_4	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Chitinophagales_1	Chitinophagaceae_1	Chitinophaga_1			13_EST_B1	84.898
OTU_5	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Pseudomonadales_1	Pseudomonadaceae_1	Pseudomonas_1			13_EST_B5	99.200
OTU_6	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Chitinophagales_1	Chitinophagaceae_1	Pseudoflavitalea_1			13_EST_B1	82.937
OTU_7	Bacteria_1	Firmicutes_1	Bacilli_1	Bacillales_1	Bacillaceae_1	Bacillus_1			4_20_B6	100.000
OTU_8	Bacteria_1	Chloroflexi_1	Kd4-96_1						4_200_B4	84.000
OTU_9	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Rhizobiaceae_1	Ensifer_1			15_INT_B3	100.000
OTU_10	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Rhizobiaceae_1	Mesorhizobium_1			14_T_B4	95.238
OTU_11	Bacteria_1	Actinobacteriota_1	Mb-a2-108_1						15_100_B4	87.302
OTU_12	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Comamonadaceae_1	Polaromonas_1			7_100_B7	99.200
OTU_13	Archaea_1	Crenarchaeota_1	Nitrososphaeria_1	Nitrososphaerales_1	Nitrososphaeraceae_1					0
OTU_14	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Micrococcales_1	Microbacteriaceae_1	Agromyces_1			13_40_B2	99.200
OTU_15	Bacteria_1	Acidobacteriota_1	Blastocatellia_1	Pyrinomonadales_1	Pyrinomonadaceae_1	Rb41_1			14_T_B4	78.226
OTU_16	Bacteria_1	Actinobacteriota_1	Thermoleophilia_1	Gaiellales_1	Gaiellaceae_1	Gaiella_1			15_100_B4	83.004
OTU_17	Bacteria_1	Actinobacteriota_1	Thermoleophilia_1	Solirubrobacterales_1	67-14_1				4_200_B3	79.762
OTU_18	Bacteria_1	Actinobacteriota_1	Thermoleophilia_1	Gaiellales_1	Uncultured_48				12_100_B4	83.794
OTU_19	Bacteria_1	Actinobacteriota_1	Thermoleophilia_1	Gaiellales_1	Uncultured_48				15_100_B4	83.267
OTU_20	Bacteria_1	Actinobacteriota_1	Thermoleophilia_1	Gaiellales_1	Uncultured_48				5_T_B4	84.921
OTU_21	Bacteria_1	Actinobacteriota_1	Acidimicrobiia_1	Actinomarinales_1	Uncultured_26				14_T_B1	87.449
OTU_22	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Steroidobacterales_1	Steroidobacteraceae_1	Steroidobacter_1			3_INT_B2	89.286
OTU_23	Bacteria_1	Actinobacteriota_1	Thermoleophilia_1	Gaiellales_1					15_100_B4	82.213
OTU_24	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Rhizobiaceae_1	Phyllobacterium_1			14_T_B4	100.000
OTU_25	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Chitinophagales_1	Chitinophagaceae_1	Uncultured_36			13_EST_B1	82.857
OTU_26	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Oceanospirillales_1	Halomonadaceae_1	Halomonas_1			2_EST_B3	88.800
OTU_27	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Propionibacteriales_1	Nocardioidaceae_1	Kribbella_1			12_40_B9	99.600
OTU_28	Bacteria_1	Acidobacteriota_1	Vicinamibacteria_1	Vicinamibacterales_1	Uncultured_60				15_INT_B3	82.996
OTU_29	Bacteria_1	Actinobacteriota_1	Mb-a2-108_1						15_100_B4	90.040
OTU_30	Bacteria_1	Chloroflexi_1	Gitt-gs-136_1						4_200_B4	81.423
OTU_31	Bacteria_1	Actinobacteriota_1	Thermoleophilia_1	Gaiellales_1	Uncultured_48				15_100_B4	83.333
OTU_32	Bacteria_1	Myxococcota_1	Bacteriap25_1						12_200_B4	79.051
OTU_33	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Sphingomonadales_1	Sphingomonadaceae_1	Sphingomonas_1			15_INT_B3	89.723
OTU_34	Bacteria_1	Firmicutes_1	Bacilli_1	Bacillales_1	Bacillaceae_1	Aeribacillus_1			2_40_B7	93.227
OTU_35	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Streptomycetales_1	Streptomycetaceae_1	Streptomyces_1			16_40_B2	97.600
OTU_36	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Frankiales_1	Geodermatophilaceae_1	Blastococcus_1			12_100_B4	93.200
OTU_37	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Streptomycetales_1	Streptomycetaceae_1	Streptomyces_1			15_100_B4	97.600
OTU_38	Bacteria_1	Acidobacteriota_1	Vicinamibacteria_1	Vicinamibacterales_1	Vicinamibacteraceae_1				2_EST_B3	83.200
OTU_39	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Dongiales_1	Dongiaceae_1	Dongia_1			12_200_B4	85.317
OTU_40	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Nitrosomonadaceae_1	Mnd1_1			2_EST_B8	87.302
OTU_41	Bacteria_1	Actinobacteriota_1	Acidimicrobiia_1	Microtrichales_1	Uncultured_212				15_100_B4	82.996
OTU_42	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Oxalobacteraceae_1	Massilia_1			7_100_B7	88.446
OTU_43	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Acidibacter_1					5_EST_B1	86.939
OTU_44	Bacteria_1	Actinobacteriota_1	Thermoleophilia_1	Solirubrobacterales_1	Solirubrobacteraceae_1	Conexibacter_1			7_100_B1	81.746
OTU_45	Bacteria_1	Actinobacteriota_1	Thermoleophilia_1	Solirubrobacterales_1	Solirubrobacteraceae_1	Solirubrobacter_1			15_100_B4	81.961
OTU_46	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Sphingomonadales_1	Sphingomonadaceae_1	Ellin6055_1			14_T_B4	89.286
OTU_47	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Propionibacteriales_1	Nocardioidaceae_1	Nocardioides_1			5_200_B2	98.000
OTU_48	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Ccd24_1					3_INT_B2	86.454
OTU_49	Bacteria_1	Actinobacteriota_1	Rubrobacteria_1	Rubrobacterales_1	Rubrobacteriaceae_1	Rubrobacter_1			15_100_B4	90.514
OTU_50	Bacteria_1	Actinobacteriota_1	Thermoleophilia_1	Gaiellales_1	Gaiellaceae_1	Gaiella_1			12_100_B4	83.071
OTU_51	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Xanthobacteraceae_1				14_T_B4	91.633
OTU_52	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Micrococcales_1	Cellulomonadaceae_1	Cellulomonas_1			5_T_B4	95.200
OTU_53	Bacteria_1	Firmicutes_1	Bacilli_1	Bacillales_1					17_INT_B2	96.800
OTU_54	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Beijerinckiaceae_1	Bosea_1			12_200_B4	100.000
OTU_55	Bacteria_1	Actinobacteriota_1	Thermoleophilia_1	Solirubrobacterales_1	67-14_1				5_T_B4	82.143
OTU_56	Bacteria_1	Chloroflexi_1	Chloroflexia_1	Thermomicrobiales_1	Jg30-kf-cm45_1				2_40_B7	78.088
OTU_57	Bacteria_1	Chloroflexi_1	Gitt-gs-136_1							0
OTU_58	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Beijerinckiaceae_1	Microvirga_1			12_200_B4	92.063
OTU_59	Bacteria_1	Chloroflexi_1	Dehalococcoidia_1	S085_1					17_INT_B2	84.064
OTU_60	Bacteria_1	Chloroflexi_1	Kd4-96_1						17_INT_B2	83.730
OTU_61	Bacteria_1	Actinobacteriota_1	Acidimicrobiia_1	Microtrichales_1	Uncultured_212				13_40_B2	87.398
OTU_62	Bacteria_1	Actinobacteriota_1	Thermoleophilia_1	Gaiellales_1	Uncultured_48				15_100_B4	83.267
OTU_63	Bacteria_1	Acidobacteriota_1	Vicinamibacteria_1	Vicinamibacterales_1	Uncultured_60				2_EST_B3	83.600
OTU_64	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Corynebacteriales_1	Mycobacteriaceae_1	Mycobacterium_1			12_100_B5	99.600
OTU_65	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Cytophagales_1	Microscillaceae_1	Uncultured_43				0
OTU_66	Bacteria_1	Acidobacteriota_1	Vicinamibacteria_1	Vicinamibacterales_1	Vicinamibacteraceae_1				8_INT_B1	85.200
OTU_67	Bacteria_1	Actinobacteriota_1	Thermoleophilia_1	Solirubrobacterales_1	67-14_1				5_T_B4	83.600
OTU_68	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Cytophagales_1	Microscillaceae_1	uncultured_43				0
OTU_69	Bacteria_1	Actinobacteriota_1	Thermoleophilia_1	Gaiellales_1	Uncultured_48				12_100_B4	83.004
OTU_70	Bacteria_1	Acidobacteriota_1	Thermoanaerobaculia_1	Thermoanaerobaculales_1	Thermoanaerobaculaceae_1	Subgroup_10_1				0
OTU_71	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Tra3-20_1				2_EST_B8	88.000
OTU_72	Bacteria_1	Acidobacteriota_1	Subgroup_22_1						17_INT_B2	80.478
OTU_73	Bacteria_1	Actinobacteriota_1	Thermoleophilia_1	Gaiellales_1	uncultured_48				12_100_B4	83.004
OTU_74	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Sphingomonadales_1	Sphingomonadaceae_1	Altererythrobacter_1			15_INT_B3	88.845
OTU_75	Bacteria_1	Firmicutes_1	Clostridia_1	Clostridiales_1	Clostridiaceae_1	Clostridium_sensu_stricto_13_1				0
OTU_76	Bacteria_1	Acidobacteriota_1	Holophagae_1	Subgroup_7_1					14_T_B4	86.585
OTU_77	Bacteria_1	Chloroflexi_1	Gitt-gs-136_1							0
OTU_78	Bacteria_1	Acidobacteriota_1	Vicinamibacteria_1	Vicinamibacterales_1	Vicinamibacteraceae_1				2_EST_B3	83.267
OTU_79	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Micrococcales_1	Promicromonosporaceae_1	Promicromonospora_1			15_INT_B1	99.200
OTU_80	Bacteria_1	Actinobacteriota_1	Thermoleophilia_1	Solirubrobacterales_1	67-14_1				5_T_B4	83.137
OTU_81	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Sphingomonadales_1	Sphingomonadaceae_1	Sphingomonas_1			15_INT_B3	88.446
OTU_82	Bacteria_1	Actinobacteriota_1	Acidimicrobiia_1	Imcc26256_1					13_40_B2	84.739
OTU_83	Bacteria_1	Verrucomicrobiota_1	Verrucomicrobiae_1	Chthoniobacterales_1	Chthoniobacteraceae_1	Candidatus_udaeobacter_1				0
OTU_84	Bacteria_1	Actinobacteriota_1	Acidimicrobiia_1	Microtrichales_1	Iamiaceae_1	Iamia_1			12_100_B4	84.739
OTU_85	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Xanthomonadales_1	Xanthomonadaceae_1	Lysobacter_1			7_100_B9	92.829
OTU_86	Bacteria_1	Acidobacteriota_1	Blastocatellia_1	Pyrinomonadales_1	Pyrinomonadaceae_1	Rb41_1			14_T_B4	77.959
OTU_87	Bacteria_1	Gemmatimonadota_1	Gemmatimonadetes_1	Gemmatimonadales_1	Gemmatimonadaceae_1	Uncultured_76			12_200_B4	78.175
OTU_88	Bacteria_1	Actinobacteriota_1	Thermoleophilia_1	Solirubrobacterales_1	67-14_1				5_T_B4	82.470
OTU_89	Bacteria_1	Firmicutes_1	Bacilli_1	Bacillales_1	Bacillaceae_1	Bacillus_1			2_40_B7	98.800
OTU_90	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Cytophagales_1	Microscillaceae_1	Uncultured_43				0
OTU_91	Bacteria_1	Chloroflexi_1	Kd4-96_1							0
OTU_92	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Xanthobacteraceae_1	Uncultured_59			12_200_B4	91.600
OTU_93	Bacteria_1	Verrucomicrobiota_1	Verrucomicrobiae_1	Pedosphaerales_1	Pedosphaeraceae_1	Uncultured_175				0
OTU_94	Bacteria_1	Myxococcota_1	Myxococcia_1	Myxococcales_1	Myxococcaceae_1					0
OTU_95	Bacteria_1	Acidobacteriota_1	Vicinamibacteria_1	Vicinamibacterales_1	Uncultured_60				8_INT_B1	82.400
OTU_96	Bacteria_1	Gemmatimonadota_1	Gemmatimonadetes_1	Gemmatimonadales_1	Gemmatimonadaceae_1	Uncultured_76			12_200_B4	80.080
OTU_97	Bacteria_1	Chloroflexi_1	Chloroflexia_1	Thermomicrobiales_1	Jg30-kf-cm45_1				2_40_B7	81.423
OTU_98	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Plta13_1					3_INT_B2	86.056
OTU_99	Archaea_1	Crenarchaeota_1	Nitrososphaeria_1	Nitrososphaerales_1	Nitrososphaeraceae_1					0
OTU_100	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Xanthomonadales_1	Xanthomonadaceae_1	Arenimonas_1			7_100_B9	91.633
OTU_101	Archaea_1	Crenarchaeota_1	Nitrososphaeria_1	Nitrososphaerales_1	Nitrososphaeraceae_1					0
OTU_102	Archaea_1	Crenarchaeota_1	Nitrososphaeria_1	Nitrososphaerales_1	Nitrososphaeraceae_1	Candidatus_nitrososphaera_1				0
OTU_103	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Nitrosomonadaceae_1	Mnd1_1			2_EST_B8	87.251
OTU_104	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Comamonadaceae_1	Xylophilus_1			7_100_B7	97.200
OTU_105	Bacteria_1	Gemmatimonadota_1	Gemmatimonadetes_1	Gemmatimonadales_1	Gemmatimonadaceae_1	Uncultured_76			12_200_B4	81.349
OTU_106	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Methyloligellaceae_1	Uncultured_87			14_T_B4	92.000
