OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Isolate	Isolate_percent_id
OTU_1	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	Tuber	Tuber magnatum		0
OTU_2	Fungi							11_T_L1_ITS	100.000
OTU_3	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	Tuber	Tuber magnatum		0
OTU_4	Fungi							11_100_F10	94.709
OTU_5	Fungi	Ascomycota	Sordariomycetes					15_100_F3	100.000
OTU_6	Fungi							9_INT_F1	92.708
OTU_7	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella		4_100_F12	97.368
OTU_8	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria			0
OTU_9	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina			0
OTU_10	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella		9_T_F5	100.000
OTU_11	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla		10_100_F7	85.128
OTU_12	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces			0
OTU_13	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia			0
OTU_14	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella		11_100_F10	80.541
OTU_15	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium		6_T_F4	91.710
OTU_16	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella		11_100_F10	86.702
OTU_17	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces			0
OTU_18	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala		1_EST_FB	100.000
