#OTU ID	sample58	sample17	sample24	sample34	sample94	sample57	sample33	sample9	sample46	sample82	sample40	sample36	sample26	sample35	sample39	sample88	sample86	sample16	sample49	sample41	sample79	sample52	sample87	sample2	sample67	sample42	sample37	sample71	sample44	sample8	sample66	sample10	sample91	sample14	sample15	sample5	sample47	sample32	sample53	sample64	sample63	sample18	sample51	sample29	sample22	sample56	sample54	sample72	sample84	sample6	sample74	sample62	sample19	sample1	sample45	sample68	sample81	sample55	sample31	sample75	sample20	sample85	sample43	sample70	sample69	sample50	sample12	sample28	sample59	sample78	sample4	sample76	sample83	sample7	sample60	sample92	sample73	sample21	sample80	sample77	sample65	sample38	sample11	sample48	sample30	sample89	sample13	sample61	sample3	sample25	sample90	sample23	sample93	control96	sample27	control95
OTU_107	213	209	28	3	59	115	179	0	0	281	11	137	162	113	0	3	48	178	9	116	145	49	141	1	2	37	95	161	178	134	58	118	111	0	128	582	42	0	6	287	51	139	125	1	107	141	59	102	99	217	1	130	0	30	6	207	3	138	144	387	75	158	94	66	107	295	199	118	20	110	0	157	225	86	0	84	163	19	120	130	103	151	119	184	43	164	101	304	0	132	92	118	0	0	46	0
OTU_315	125	35	0	0	4	65	0	0	0	40	0	0	24	8	0	0	43	18	12	105	41	14	228	341	0	11	0	16	85	13	5	1	23	0	1	19	0	3	0	90	29	29	5	0	9	16	22	9	3	26	0	17	0	15	0	11	0	2	0	5	20	20	72	16	23	44	53	1	0	140	0	150	21	10	0	36	64	0	55	22	5	0	132	67	1	6	54	21	9	0	14	0	0	0	2	0
OTU_1	222	180	27516	18264	125	147	134	4635	3683	460	95	33	107	105	22482	48120	483	357	49	220	456	60	721	1213	89906	55	108	323	137	182	90	93	423	10223	75	1057	43	85	49670	214	101	300	110	46777	74	108	78	136	101	186	40931	85	9389	172	15	106	46772	67	97	161	189	142	112	156	242	207	415	84	21	875	11519	760	318	164	62047	314	354	63	266	121	77	155	702	202	33	367	500	125	36	91	335	128	4521	0	27	0
OTU_18	215	91	0	0	428	96	211	0	0	59	121	270	43	168	0	0	107	97	749	129	181	359	159	0	0	239	112	53	46	268	447	344	163	0	372	159	233	272	0	375	391	115	460	0	106	377	548	220	207	189	0	406	0	23	60	593	0	349	247	364	138	108	52	72	107	343	144	126	664	71	0	23	176	273	0	127	87	41	60	99	558	126	86	386	223	205	25	664	2	101	177	80	0	0	48	0
OTU_286	24	41	1	0	12	36	20	0	0	31	5	5	46	11	0	0	9	43	55	41	67	101	95	1	0	38	13	3	18	31	40	24	8	0	11	52	10	41	0	19	38	54	58	0	19	39	37	16	14	23	0	30	0	11	14	42	0	30	13	18	36	17	26	49	14	16	53	31	11	21	0	43	15	30	0	10	43	30	35	9	29	13	63	9	29	33	34	28	0	46	38	55	0	0	7	0
OTU_263	28	42	37	1	56	35	27	0	0	30	18	15	32	45	0	0	71	73	47	59	11	55	67	8	0	97	60	25	58	57	56	44	28	0	13	52	16	14	0	61	37	44	21	0	40	37	30	17	20	82	0	34	0	15	9	35	0	38	18	20	21	4	33	17	43	42	104	48	12	44	0	22	14	97	0	30	28	23	32	24	59	9	35	101	36	19	33	25	7	26	30	35	0	0	2	0
OTU_4	8	0	1	0	0	3	0	55735	0	0	0	0	1	0	0	0	0	0	0	2	0	0	3	0	0	0	1	4	15	0	2	0	0	2	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	9	0	0	0	0	1	0	2	1	0	0	0	0	2	0	2	0	0	0	1	0	2	0	0	4	0	0	1	0	0	1	0	1	0	0	0	0	0	0
OTU_1763	4	0	0	0	0	6	5	0	0	0	65	0	5	10	0	0	0	0	0	38	0	1	0	0	0	0	0	0	23	0	2	0	0	0	0	0	0	0	0	0	2	1	2	0	0	12	5	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	14	0	0	0	0	8	0	0	0	0	0	0	0	0	0	5	3	4	2	2	0	0	11	0	0	1	0	20	0	11	0	0	3	0
OTU_242	86	31	0	0	1	74	5	0	0	19	0	2	4	17	0	0	19	29	1	18	0	0	106	0	0	0	1	47	57	2	2	6	25	0	2	10	0	4	0	28	9	77	9	0	0	0	24	4	3	9	0	8	0	4	0	1	0	43	8	6	20	7	32	8	55	4	5	1	3	25	0	52	6	5	0	13	38	6	31	8	5	13	17	16	5	2	44	5	0	6	10	29	0	0	10	0
OTU_50	141	75	0	0	352	88	123	0	0	132	100	116	93	61	0	0	185	110	188	219	85	143	413	0	0	188	97	80	90	134	140	121	161	0	152	108	217	46	0	173	148	103	121	0	42	143	148	146	130	134	0	143	0	80	54	155	0	124	77	166	135	140	121	120	120	114	211	72	338	202	0	126	187	147	0	225	152	125	92	62	227	97	92	142	121	130	101	104	10	137	217	100	0	0	12	0
OTU_17	225	167	0	0	878	135	553	1	0	150	576	546	262	489	0	0	575	175	885	370	291	428	274	5	0	525	237	181	160	328	538	450	613	0	608	1266	485	282	1	452	494	181	480	0	417	390	815	489	323	316	0	435	0	95	237	694	1	388	617	825	224	254	111	190	330	467	694	769	624	390	0	176	701	365	0	228	184	684	69	117	543	498	657	554	701	955	368	538	5	875	710	515	0	0	82	0
OTU_2	106	8	1213	30177	17	33	20	13657	9	14	10	10	47	51	30431	3	34	15	9	40	0	2	34	7	0	7	32	50	55	24	11	12	81	18089	0	32	4	3	0	70	16	61	22	3693	46	24	22	26	7	27	24059	25	38269	6	4	31	23	15	3	16	10	11	18	12	50	103	20	12	9	39	9374	33	24	11	0	33	37	7	44	5	18	32	102	38	24	13	160	10	0	21	7	17	0	0	6	0
OTU_14	316	228	11	2	116	73	769	0	0	29	459	401	442	920	1	0	388	321	218	242	385	109	421	1	0	240	415	2660	264	291	350	396	2126	0	219	27	205	110	0	1274	214	463	620	0	538	92	332	1082	154	234	0	318	0	21	41	1117	0	177	245	202	132	355	108	119	1054	1010	70	554	383	974	0	185	147	241	0	1445	200	244	108	138	198	747	49	623	790	113	386	162	8	773	1390	783	0	0	179	3
OTU_10	148	114	53	3	43	113	51	0	0	109	34	11	93	69	0	23241	148	150	26	107	31	26	339	0	0	12	23	139	98	73	50	37	129	1026	17	294	8	8	0	124	58	234	52	1	39	75	42	53	31	91	0	42	1	90	5	43	1	22	27	85	137	48	104	92	92	77	135	13	2	295	1458	152	43	51	0	156	141	7	156	68	59	38	216	95	28	38	179	99	8	39	117	57	0	0	13	0
OTU_51	388	368	21	4	164	341	152	1	0	717	123	22	159	166	0	0	511	491	179	564	278	301	1386	361	0	195	68	297	422	311	216	121	417	0	81	820	22	16	1	325	229	526	201	1	68	209	231	190	174	331	0	149	0	190	55	199	2	109	45	315	380	226	362	337	330	248	590	105	50	918	4	690	291	253	0	333	533	62	481	385	165	69	410	526	99	310	340	495	31	82	475	192	0	0	47	0
OTU_4695	0	0	1	0	3	2	3	0	0	3	1	0	9	4	0	0	6	34	0	0	0	3	0	0	0	0	6	0	1	0	0	0	0	0	2	0	0	0	0	1	0	6	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	2	4	0	2	0	2	0	0	0	0	0	0	0	0	6	5	1	0	1	0	0	5	4	0	4	1	0	2	7	0	0	0	2	2	8	0	0	0	0
OTU_32	153	72	0	0	97	64	34	0	0	120	77	38	11	90	0	0	117	70	251	83	56	313	45	0	0	66	18	40	104	106	202	256	98	0	340	869	26	14	0	80	185	97	328	0	12	170	189	64	74	154	0	250	0	19	67	130	0	248	57	236	141	109	65	92	76	170	225	68	217	76	0	39	271	113	0	81	77	12	81	170	326	104	311	192	70	359	180	414	6	26	118	46	0	0	5	0
OTU_39	111	115	2591	95	22	102	206	0	0	34	147	34	349	259	0	0	86	193	112	81	77	164	160	0	0	161	60	38	60	150	204	62	48	0	88	126	34	29	0	62	195	155	169	0	257	248	82	43	81	75	0	73	0	7	16	316	0	127	128	117	138	24	112	98	25	59	125	204	261	99	0	36	136	88	0	72	163	167	70	67	110	232	51	64	119	54	46	399	0	267	120	308	0	0	40	0
OTU_445	53	39	21	0	9	80	29	0	0	12	12	5	62	51	0	0	37	19	4	53	112	21	51	0	0	14	6	34	50	32	23	17	24	0	20	41	8	0	0	44	31	77	37	0	25	9	16	36	14	33	0	17	0	22	2	35	0	17	5	7	16	15	33	39	38	45	41	23	7	48	0	68	3	47	0	52	53	20	52	39	28	15	78	55	16	27	27	48	15	28	25	21	0	0	16	0
OTU_624	9	37	0	0	9	9	6	0	0	6	9	0	8	8	0	0	12	11	44	35	2	44	10	0	0	15	8	11	4	24	27	29	19	0	11	81	9	6	0	14	25	20	16	0	0	21	13	14	25	13	0	20	0	0	7	50	0	29	11	71	17	6	9	25	13	14	55	20	20	19	0	11	59	12	0	14	22	13	3	3	24	13	20	3	5	71	4	74	0	1	89	13	0	0	0	0
OTU_48	253	151	1	0	23	189	206	0	0	120	213	16	250	218	0	0	140	237	189	422	12	409	379	0	1	93	77	62	265	99	193	68	41	0	22	89	22	79	0	58	286	201	183	0	107	193	146	25	81	146	0	67	1	40	23	162	0	130	99	17	211	41	312	126	52	73	140	248	51	113	0	76	30	76	0	95	177	129	312	151	160	105	92	128	193	58	101	207	9	171	88	325	0	0	30	0
OTU_10988	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_162	8	19	0	0	34	14	38	0	0	9	123	3	11	31	0	0	19	25	34	0	18	24	16	0	0	36	23	6	4	15	23	19	31	0	25	13	27	5	0	8	14	10	20	0	30	11	23	20	30	11	0	22	0	0	4	36	0	52	17	21	9	5	10	15	12	7	3	33	43	14	0	2	10	25	0	10	22	18	5	2	32	67	8	4	10	16	5	12	0	47	50	45	0	0	3	0
OTU_3	289	39	0	0	645	35	2216	0	1	45	7553	15060	4803	4681	0	1	782	93	211	150	416	98	22	11	0	211	2888	885	145	60	25	791	826	0	149	7	1259	1223	0	2177	43	693	2478	1	3412	13	589	4975	332	168	0	685	0	6	217	73	1	498	1187	83	91	427	188	10	974	1081	29	2632	0	263	0	698	52	297	0	1658	49	1285	84	204	190	7001	35	1730	2463	118	5	49	8	639	1410	558	0	0	197	0
OTU_5	2769	50	9	9	37	132	72	1	59617	4	1003	87	1716	106	0	9	76	42	4	80	11	10	68	1	0	1	110	740	213	28	16	116	304	3	9	29	129	85	0	228	6	218	209	4	1599	23	120	257	140	35	6	200	0	3	19	284	54	761	16	10	18	21	189	19	249	192	16	136	0	90	8	210	2	112	0	333	405	6	87	324	18	34	144	105	16	3	113	41	18	94	63	40	0	0	59	0
OTU_207	52	51	0	0	12	50	37	0	0	43	9	1	57	21	0	0	21	39	12	40	6	16	95	0	0	37	18	34	28	75	16	40	22	0	30	14	11	3	0	34	35	109	22	0	30	19	24	43	16	25	0	22	0	13	0	46	0	11	9	20	39	18	50	35	35	18	28	9	5	41	0	31	7	23	0	64	42	20	56	41	21	25	40	26	5	25	18	55	1	23	67	38	0	0	4	0
