OTU_ID,taxonomy,Guild,Confidence Ranking
OTU_10,"Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Russula_foetens_SH1569724.08FU",Ectomycorrhizal,Highly Probable
OTU_1002,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius_intricatus_SH1571852.08FU",Ectomycorrhizal,Highly Probable
OTU_1024,"Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,Rhizopogon_evadens_SH1524114.08FU",Ectomycorrhizal,Highly Probable
OTU_103,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe",Ectomycorrhizal,Probable
OTU_1031,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius",Ectomycorrhizal,Highly Probable
OTU_1049,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita_groenlandica_SH1611311.08FU",Ectomycorrhizal,Highly Probable
OTU_1050,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius_infractus_SH1503744.08FU",Ectomycorrhizal,Highly Probable
OTU_106,"Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Terfezia,Terfezia_leptoderma_SH1510552.08FU",Ectomycorrhizal,Highly Probable
OTU_1068,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella",Ectomycorrhizal,Highly Probable
OTU_107,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella",Ectomycorrhizal,Highly Probable
OTU_108,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius_uraceonemoralis_SH1545304.08FU",Ectomycorrhizal,Highly Probable
OTU_1086,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella",Ectomycorrhizal,Highly Probable
OTU_1096,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe_curvipes_SH1566521.08FU",Ectomycorrhizal,Probable
OTU_11,"Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Russula_delica_SH1509931.08FU",Ectomycorrhizal,Highly Probable
OTU_1107,"Fungi,Ascomycota,Dothideomycetes,Mytilinidales,Gloniaceae,Cenococcum",Ectomycorrhizal,Highly Probable
OTU_1111,"Fungi,Ascomycota,Dothideomycetes,Mytilinidales,Gloniaceae,Cenococcum",Ectomycorrhizal,Highly Probable
OTU_1120,"Fungi,Basidiomycota,Agaricomycetes,Boletales,Paxillaceae,Paxillus,Paxillus_cuprinus_SH1569018.08FU",Ectomycorrhizal,Highly Probable
OTU_1136,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius",Ectomycorrhizal,Highly Probable
OTU_114,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_subclavigera_SH1502238.08FU",Ectomycorrhizal,Highly Probable
OTU_1165,"Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Delastria,Delastria_rosea_SH1649724.08FU",Ectomycorrhizal,Probable
OTU_1173,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella",Ectomycorrhizal,Highly Probable
OTU_119,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella",Ectomycorrhizal,Highly Probable
OTU_12,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrophorus,Hygrophorus_marzuolus_SH1525001.08FU",Ectomycorrhizal,Highly Probable
