OTU_ID,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,Phylum,Class,Taxon
OTU_1,210,331,343,177,234,250,312,237,222,282,228,311,306,257,292,232,271,299,316,236,240,244,237,257,282,234,235,Proteobacteria,Alphaproteobacteria,Bradyrhizobium
OTU_2,56,89,62,100,51,77,13,49,149,44,105,67,82,84,118,63,108,179,0,11,37,1,43,3,37,4,46,Actinobacteria,,Arthrobacter
OTU_3,63,42,94,53,45,61,66,59,84,153,90,92,48,75,66,83,92,85,52,80,44,26,57,63,70,136,45,Acidobacteria,,Terriglobus
OTU_4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Acinetobacter
OTU_5,30,33,25,19,11,20,74,66,43,150,142,67,101,117,70,174,62,83,89,120,134,63,108,175,112,169,60,Acidobacteria,,Gp2
OTU_6,37,32,36,48,33,51,37,41,44,133,56,34,40,31,40,103,40,59,119,38,25,60,41,22,52,36,14,Bacteroidetes,Sphingobacteria,Mucilaginibacter
OTU_7,28,55,23,32,18,28,47,59,41,9,21,20,21,12,39,22,24,29,38,24,29,57,43,30,26,25,77,Proteobacteria,Alphaproteobacteria,Sphingomonas
OTU_8,34,32,25,5,17,29,14,6,6,25,16,33,25,31,24,8,17,13,26,46,23,9,25,14,36,64,40,Proteobacteria,Alphaproteobacteria,Azospirillum
OTU_9,48,6,11,24,43,23,8,13,7,20,24,24,16,40,33,35,12,20,28,34,14,18,36,16,58,58,27,Actinobacteria,,Conexibacter
OTU_10,63,22,74,5,16,9,15,0,7,14,11,81,15,20,27,12,39,33,2,2,27,4,19,10,4,6,49,Proteobacteria,Betaproteobacteria,Massilia
OTU_11,25,53,21,22,6,2,5,11,6,8,17,20,30,10,9,14,91,81,0,0,1,0,11,3,0,0,14,Firmicutes,,Paenibacillus
OTU_12,28,33,17,7,14,8,8,15,10,27,11,19,58,27,25,24,18,35,34,24,14,55,28,29,32,42,40,Actinobacteria,,Mycobacterium
OTU_13,85,109,92,111,125,137,253,225,161,117,112,94,113,120,106,137,144,108,51,82,193,51,145,159,97,90,124,,,Spartobacteria
OTU_14,17,20,19,11,28,43,22,15,25,24,26,36,16,18,22,6,10,7,18,41,11,11,26,23,48,65,30,Actinobacteria,,Gp3
OTU_15,111,97,121,164,170,130,175,160,147,66,56,58,61,62,64,60,92,79,23,73,116,35,45,121,52,33,105,,,Spartobacteria
OTU_16,4,1,2,1,4,1,10,9,10,10,0,6,1,0,3,3,6,2,12,28,23,8,22,11,14,32,6,Acidobacteria,,Gp2
OTU_17,4,7,13,10,55,69,11,4,6,0,0,0,2,0,4,2,2,0,0,0,0,0,0,0,1,1,3,Firmicutes,Bacilli,Bacillus
OTU_18,20,16,26,14,12,9,26,8,6,5,4,6,5,6,11,0,12,14,65,26,22,41,19,19,12,10,11,Bacteroidetes,Sphingobacteria,Flavitalea
OTU_19,33,33,30,37,35,50,49,68,90,40,94,78,55,82,78,43,74,33,25,42,79,35,36,34,33,35,11,Actinobacteria,,Streptacidiphilus
OTU_20,26,23,17,7,11,18,23,26,19,19,19,18,26,21,20,47,21,28,40,42,38,14,26,36,20,30,17,Acidobacteria,,Gp1
OTU_21,14,6,15,3,1,3,7,11,9,22,16,32,30,32,27,34,22,23,21,31,23,11,13,23,43,21,28,,,Spartobacteria
OTU_22,3,0,5,3,0,2,0,4,1,0,0,2,3,2,8,1,2,0,16,8,4,2,3,12,16,26,4,Chloroflexi,,Ktedonobacter
OTU_23,0,0,0,2,0,3,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Pseudomonas
OTU_24,21,16,20,10,2,12,25,48,19,27,21,22,13,19,18,31,18,29,26,15,34,15,15,32,20,39,15,Acidobacteria,,Gp3
OTU_25,4,4,2,5,7,2,6,16,5,2,3,5,0,3,19,13,9,12,2,2,7,12,7,12,18,3,28,Bacteroidetes,Sphingobacteria,Sediminibacterium
OTU_26,26,5,15,0,0,1,5,0,8,0,0,0,0,3,16,7,8,0,0,5,14,34,5,1,5,0,0,Proteobacteria,Gammaproteobacteria,Pseudomonas
OTU_27,15,3,0,0,4,0,2,0,5,0,0,0,0,0,4,0,0,0,4,0,0,53,2,4,29,1,0,Bacteroidetes,Sphingobacteria,Chitinophaga
OTU_28,24,16,17,0,10,28,10,0,13,7,11,10,9,8,2,8,0,2,13,20,10,18,5,18,23,45,21,Actinobacteria,Actinobacteria,Actinoallomurus
OTU_29,36,5,14,3,12,13,4,0,16,31,7,28,13,9,13,8,8,17,7,15,11,4,11,7,31,37,26,Firmicutes,,Gp1
OTU_30,6,8,1,3,4,0,2,0,5,7,8,11,15,5,11,6,17,20,0,4,19,0,14,7,0,10,7,Proteobacteria,Betaproteobacteria,Duganella
OTU_31,14,20,4,2,6,1,0,0,1,0,0,4,1,8,2,0,2,1,0,2,1,1,7,7,0,1,5,Actinobacteria,,Nocardioides
OTU_32,11,0,0,0,0,0,0,0,0,25,24,29,12,20,14,7,9,33,0,0,0,0,2,0,0,1,0,Firmicutes,,Paenibacillus
OTU_33,12,35,21,99,35,32,9,50,19,23,68,42,62,77,44,54,45,26,2,22,18,0,24,5,9,15,1,Firmicutes,Bacilli,Caldalkalibacillus
OTU_34,2,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Bacteroidetes,Sphingobacteria,Ferruginibacter
OTU_35,4,7,4,1,0,11,15,10,43,3,0,4,1,0,0,12,8,2,0,0,3,0,11,4,0,0,1,Proteobacteria,Betaproteobacteria,Herbaspirillum
OTU_36,3,12,6,3,6,4,7,4,9,11,5,9,9,3,24,2,7,12,14,8,13,28,28,13,19,6,12,Proteobacteria,Alphaproteobacteria,Sphingomonas
OTU_37,21,0,5,0,0,0,0,0,0,0,0,0,0,0,42,0,4,1,0,0,3,0,5,0,2,0,2,Bacteroidetes,Flavobacteriia,Flavobacterium
OTU_38,8,16,9,7,13,21,12,9,5,5,24,15,8,15,14,8,25,11,3,6,2,2,6,2,10,4,6,Firmicutes,Bacilli,Bacillus
OTU_39,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,Bacteroidetes,Flavobacteria,Chryseobacterium
OTU_40,4,4,0,1,0,1,2,1,6,3,3,3,4,3,8,6,0,3,10,6,4,6,6,8,16,17,3,Firmicutes,,Gp1
OTU_41,2,0,3,0,3,5,1,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,2,Firmicutes,Bacilli,Bacillus
OTU_42,28,68,68,28,66,59,40,26,19,25,20,74,65,47,37,23,28,25,17,36,41,31,46,46,33,29,67,Proteobacteria,Alphaproteobacteria,Rhodoplanes
OTU_43,10,4,4,2,5,0,4,3,1,18,7,8,6,4,8,11,8,16,6,5,6,4,2,6,11,17,16,Firmicutes,,Gp1
OTU_44,11,3,5,3,0,3,4,0,3,1,0,0,3,0,3,0,1,0,4,0,0,0,0,2,2,0,0,Proteobacteria,Betaproteobacteria,Janthinobacterium
OTU_45,15,3,9,6,6,11,4,9,1,0,5,6,6,3,2,0,5,0,9,21,10,16,13,8,12,9,5,Actinobacteria,Actinobacteria,Actinoallomurus
OTU_46,2,5,2,0,0,0,4,0,0,1,0,0,0,0,0,0,4,0,6,12,2,15,7,4,5,1,3,Bacteroidetes,Sphingobacteria,Ferruginibacter
OTU_47,22,16,17,4,12,17,15,0,35,28,26,27,34,37,39,33,38,41,21,27,34,34,17,7,10,38,4,Proteobacteria,Betaproteobacteria,Burkholderia
OTU_48,2,13,11,18,20,10,16,6,10,3,8,7,9,8,5,6,6,5,0,0,6,0,11,4,0,2,24,Actinobacteria,Actinobacteria,Actinoallomurus
OTU_49,2,7,12,3,2,9,9,12,16,1,5,3,12,3,10,9,6,7,12,13,11,18,8,9,7,2,9,Proteobacteria,Alphaproteobacteria,Pseudolabrys
OTU_50,6,2,12,14,15,10,3,14,3,19,34,7,15,19,20,9,4,11,2,22,14,4,8,15,12,3,7,Acidobacteria,,Gp1
OTU_51,4,0,6,4,7,7,1,12,13,0,6,0,3,5,4,0,0,4,0,4,4,0,4,2,9,3,1,Chloroflexi,,Ktedonobacter
OTU_52,50,26,17,31,76,34,14,26,9,12,16,29,18,6,9,10,9,13,29,46,19,30,40,19,30,27,22,Actinobacteria,,Conexibacter
OTU_53,8,19,12,20,13,24,9,7,16,24,39,10,24,25,11,16,14,18,12,23,23,6,15,12,30,13,15,Proteobacteria,Gammaproteobacteria,Ectothiorhodosinus
