OTU_ID,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,Taxon
OTU_1,2746,5828,3008,1564,824,3074,1124,1272,630,18138,63902,10156,8234,14404,19790,19238,14038,11126,3256,7640,14802,5150,6186,32738,4430,5490,5166,Umbelopsis_dimorpha
OTU_3,4170,6576,1148,5144,4414,1526,1576,52,3010,2884,5560,1760,2198,3456,7010,4328,7282,3862,1556,196,3546,6342,4222,9548,2218,1590,2884,Mortierella
OTU_7,748,1354,1832,654,888,2034,2072,3534,8444,6072,8156,1840,1532,2786,2982,1068,1604,640,1566,3022,1396,1124,7318,3694,2182,2256,196,Umbelopsis_vinacea
OTU_2,1186,872,1312,56,108,770,2914,8,834,40,96,6,256,32,392,128,374,292,3360,5086,2592,3110,132,14748,50,1362,66,Mortierella
OTU_18,1452,2036,1660,144,32,910,518,224,336,648,3288,1416,1534,1204,550,574,514,444,520,400,496,364,392,2430,800,1418,1510,Oidiodendron_chlamydosporicum
OTU_15,1330,1918,2024,1222,3852,1284,626,928,2090,204,1182,762,340,632,1060,166,832,244,66,132,432,396,526,916,130,92,526,Nectriaceae
OTU_57,1326,1560,1178,546,272,3056,902,144,1056,574,1998,562,892,492,1008,994,1162,452,220,438,850,278,304,1396,94,182,524,Saitozyma_podzolica
OTU_16,288,314,434,524,688,178,76,4,230,266,7226,824,522,1452,1192,2272,398,468,190,280,240,602,250,670,514,276,392,Mortierella_horticola
OTU_9,132,1054,978,896,168,202,66,12,234,1418,7202,2174,760,728,304,1140,118,272,52,44,160,88,10,78,152,498,12,Mortierellaceae
OTU_5,0,0,0,0,0,0,0,0,0,0,8016,0,1788,904,0,2196,0,0,0,0,0,0,0,0,0,0,0,Tricholoma_portentosum
OTU_25,1054,904,1164,338,340,972,896,364,144,110,302,82,140,20,48,78,170,78,184,384,572,404,644,1800,74,322,924,Exophiala_equina
OTU_21,1400,142,0,0,0,0,192,4,42,822,0,0,20,1796,0,0,688,498,2740,608,0,96,2358,4,512,348,82,Inocybe
OTU_62,1078,1514,1072,188,88,254,168,164,100,434,1516,526,572,370,376,280,236,156,84,222,246,98,168,992,140,242,214,Sagenomella_striatispora
OTU_31,366,1828,1058,490,884,566,1002,62,160,194,728,578,1106,468,124,508,300,318,8,28,30,22,38,206,8,36,34,Bifiguratus_adelaidae
OTU_27,372,624,730,442,852,1364,340,18,906,102,628,216,200,170,208,44,258,140,126,356,352,420,464,382,484,154,588,Solicoccozyma_phenolica
OTU_58,392,582,276,348,154,232,586,544,412,92,782,80,188,152,460,880,158,430,80,138,352,116,438,774,70,122,522,Pleotrichocladium_opacum
OTU_19,484,700,1380,0,0,840,3118,2482,236,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,Thelephora
OTU_12,0,0,0,0,0,0,0,0,0,1348,0,0,0,0,0,1298,0,292,1168,4682,0,0,0,0,122,72,0,Hygrophorus_marzuolus
OTU_49,124,136,110,802,542,412,80,462,104,72,216,16,8,260,90,232,736,252,6,228,732,4,20,1340,134,806,426,Tuber
OTU_6,0,4,8,4,0,0,0,0,0,0,0,0,0,72,0,0,0,0,36,20,850,536,54,6750,0,0,0,Mortierella_pseudozygospora
OTU_37,478,1426,1058,0,0,284,34,254,26,286,1894,146,676,356,86,580,224,406,6,0,8,0,0,0,26,12,0,Sistotrema
OTU_71,696,454,356,176,136,386,156,20,340,62,482,138,132,146,74,192,324,202,56,498,584,132,434,666,68,236,296,Solicoccozyma_terricola
OTU_38,48,164,366,112,614,100,36,0,14,906,1370,418,126,430,590,52,82,34,472,30,182,212,236,152,132,402,60,Mortierella_lignicola
OTU_207,126,250,472,0,0,180,110,1190,106,606,1836,60,348,40,56,588,86,164,216,4,46,0,28,96,228,72,0,Cenococcum
OTU_1407,1632,1646,6,60,164,76,18,0,0,22,52,6,42,322,66,48,184,6,236,0,222,1626,230,32,44,0,12,Mortierella_gamsii
OTU_41,90,164,116,0,0,0,20,188,92,1436,1658,82,270,330,186,340,374,64,240,14,54,94,46,498,90,58,24,Helotiales
OTU_183,260,134,68,676,498,134,204,256,118,702,308,318,486,102,216,42,392,110,26,314,52,146,18,192,60,362,102,Herpotrichiellaceae
OTU_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6286,0,0,0,0,Russula_foetens
OTU_72,440,686,556,152,0,220,100,154,26,222,606,194,326,128,96,116,132,100,118,238,86,74,188,460,164,90,266,Sagenomella
