OTU_ID	Rank_1	Rank_2	Rank_3	Rank_4	Rank_5	Rank_6	Rank_7	Rank_8	Isolate	Isolate_percent_id	Isolate_query_cover	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover
OTU_26	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Bacteroidales_1	Dysgonomonadaceae_1	Dysgonomonas_1				0	0	Bacteria_Bacteroidota	100.000	100
OTU_1351	Bacteria_1	Myxococcota_1	Polyangia_1	Polyangiales_1	Sandaracinaceae_1	Uncultured_77				0	0	Bacteria_Myxococcota	99.200	100
OTU_121	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Pseudonocardiales_1	Pseudonocardiaceae_1	Lechevalieria_1				0	0	Bacteria_Actinobacteriota	100.000	100
OTU_413	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Streptomycetales_1	Streptomycetaceae_1	Streptomyces_1				0	0	Bacteria_Actinobacteriota	99.600	100
OTU_85	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Caulobacterales_1	Caulobacteraceae_1	Phenylobacterium_1				0	0	Bacteria_Proteobacteria	100.000	100
OTU_22	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Gammaproteobacteria_incertae_sedis_1	Unknown_family_1	Acidibacter_1				0	0	Bacteria_Proteobacteria	100.000	100
OTU_423	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Micromonosporales_1	Micromonosporaceae_1	Luedemannella_1				0	0	Bacteria_Actinobacteriota	100.000	100
OTU_122	Bacteria_1	Myxococcota_1	Polyangia_1	Haliangiales_1	Haliangiaceae_1	Haliangium_1				0	0	Bacteria_Myxococcota	99.200	100
OTU_6500	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Pseudonocardiales_1	Pseudonocardiaceae_1	Actinophytocola_1				0	0	Bacteria_Actinobacteriota	98.800	100
OTU_772	Bacteria_1	Chloroflexi_1	Chloroflexia_1	Chloroflexales_1	Roseiflexaceae_1	Uncultured_156				0	0	Bacteria_Chloroflexi	100.000	100
OTU_3	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Xanthobacteraceae_1	Bradyrhizobium_1				0	0	Bacteria_Proteobacteria	100.000	100
OTU_113	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Sphingomonadales_1	Sphingomonadaceae_1	Altererythrobacter_1				0	0	Bacteria_Proteobacteria	100.000	100
OTU_117	Bacteria_1									0	0		0	0
OTU_8	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Streptomycetales_1	Streptomycetaceae_1	Streptomyces_1	Streptomyces_scabiei_1			0	0	Bacteria_Actinobacteriota	100.000	100
OTU_259	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Comamonadaceae_1					0	0	Bacteria_Proteobacteria	100.000	100
OTU_96	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Chitinophagales_1	Chitinophagaceae_1	Chitinophaga_1				0	0	Bacteria_Bacteroidota	100.000	100
OTU_6636	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Burkholderiaceae_1	Cupriavidus_1			Cupriavidus_basilensis|GLBRC725	98.400	100	Bacteria_Proteobacteria	98.800	100
OTU_14	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Rhizobiaceae_1	Allorhizobium-neorhizobium-pararhizobium-rhizobium_1			Agrobacterium_sp.|GLBRC1119	99.545	88	Bacteria_Proteobacteria	100.000	100
OTU_8193	Bacteria_1									0	0	Mitochondria	97.590	99
OTU_9	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Comamonadaceae_1				Mitsuaria_sp.|GLBRC981	100.000	84	Bacteria_Proteobacteria	100.000	100
OTU_58	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Pseudomonadales_1	Pseudomonadaceae_1	Pseudomonas_1	Pseudomonas_aeruginosa_1		Mock_Pseudomonas_aeruginosa_16S_4	100.000	100	Bacteria_Proteobacteria	100.000	100
OTU_410	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Gammaproteobacteria_incertae_sedis_1	Unknown_family_1	Acidibacter_1				0	0	Bacteria_Proteobacteria	100.000	100
OTU_2630	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Steroidobacterales_1	Steroidobacteraceae_1	Steroidobacter_1				0	0	Bacteria_Proteobacteria	99.592	98
