OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Isolate	Isolate_percent_id	Isolate_query_cover	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover
FOTU_492	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae				0	0	Fungi	99.000	100
FOTU_87	Fungi	Ascomycota	Leotiomycetes	Helotiales	Incertae_sedis	Chalara	Chalara sp 		0	0	Fungi	93.564	99
FOTU_97	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	Conocybe apala		0	0	Fungi	94.660	100
FOTU_2	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium		Fusarium_sarcochroum	99.000	100	Fungi	100.000	100
FOTU_290	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Magnaporthaceae	Magnaporthiopsis	Magnaporthiopsis panicorum	Gaeumannomyces_hyphopodioides|GLBRC439	97.727	88	Fungi	98.404	93
FOTU_1	Fungi	Ascomycota						Setophoma_terrestris|GLBRC188	100.000	94	Fungi	97.512	100
FOTU_392	Fungi	Ascomycota							0	0	Fungi	99.500	100
FOTU_5	Fungi	Ascomycota	Dothideomycetes	Pleosporales				Dothideomycetes_sp.|GLBRC458	100.000	94	Fungi	100.000	100
FOTU_29								Mock_sp10	100.000	100	MockK	100.000	100
FOTU_51	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnum	Lachnum virgineum		0	0	Fungi	98.919	93
FOTU_136	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha			0	0	Fungi	94.805	77
FOTU_5613	Fungi	Ascomycota	Leotiomycetes	Helotiales	Vibrisseaceae	Phialocephala	Phialocephala bamuru	Leotiomycetes_sp.|GLBRC107	99.459	92	Fungi	95.025	100
FOTU_257	Fungi	Ascomycota	Leotiomycetes	Helotiales					0	0	Fungi	100.000	100
FOTU_22	Fungi	Ascomycota	Dothideomycetes	Pleosporales				Uncultured_ascomycete|GLBRC490	100.000	80	Fungi	89.552	100
FOTU_255	Fungi	Ascomycota	Sordariomycetes	Sordariales					0	0		0	0
FOTU_40	Fungi	Ascomycota	Sordariomycetes						0	0		0	0
FOTU_44	Fungi	Ascomycota	Leotiomycetes	Helotiales	Incertae_sedis	Cadophora	Cadophora orchidicola	Leptodontidium_sp.|GLBRC166	99.492	98	Fungi	98.387	93
FOTU_241	Fungi	Ascomycota	Leotiomycetes	Helotiales	Incertae_sedis	Chalara	Chalara sp 		0	0	Fungi	100.000	100
FOTU_18	Fungi	Basidiomycota	Agaricomycetes						0	0	Fungi	100.000	100
FOTU_4	Viridiplantae	Anthophyta	Monocotyledonae	Poales	Poaceae				0	0	Viridiplantae	100.000	95
FOTU_127	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae				0	0	Fungi	97.000	100
FOTU_54	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala radicis		0	0	Fungi	96.392	97
FOTU_10	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Zopfiella		Sordariomycetes_sp.|GLBRC278	100.000	100	Fungi	94.500	100
FOTU_6	Fungi							Fusarium_solani|GLBRC400	100.000	92	Fungi	100.000	100
FOTU_153	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Cora			0	0	Fungi	83.562	70
FOTU_211	Fungi	Ascomycota	Leotiomycetes	Helotiales	Incertae_sedis	Chalara	Chalara sp 		0	0	Fungi	99.351	77
FOTU_26	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia		Uncultured_Periconia|GLBRC592	100.000	93	Fungi	100.000	100
FOTU_64	Fungi	Basidiomycota	Agaricomycetes						0	0	Fungi	95.109	92
FOTU_30	Mockk	Mockp	Mockc	Mocko	Mockf	Mockg		Mock_sp7	100.000	100	MockK	100.000	100
FOTU_1327	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella		Mortierella_zonata_UDB0755512	98.500	100	Fungi	96.020	100
FOTU_39	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae	Alpinaria			0	0	Fungi	97.512	100
FOTU_106	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae				0	0	Fungi	97.000	100
FOTU_202	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnum	Lachnum sp 		0	0	Fungi	98.734	79
FOTU_1020	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula nothofagi		0	0	Fungi	100.000	92
FOTU_128	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnum			0	0	Fungi	92.079	100
FOTU_33	Mockk	Mockp	Mockc	Mocko	Mockf	Mockg		Mock_sp12	100.000	100	MockK	100.000	100
FOTU_69	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Auricularia	Auricularia sp 		0	0	Fungi	100.000	77
FOTU_21	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Codinaea	Codinaea acaciae	Chaetosphaeriales_sp.|GLBRC298	99.435	89	Fungi	96.392	97
FOTU_180	Fungi	Ascomycota	Sordariomycetes	Hypocreales					0	0	Fungi	98.758	81
FOTU_28	Fungi	Ascomycota	Leotiomycetes	Helotiales	Vibrisseaceae	Phialocephala	Phialocephala bamuru	Leotiomycetes_sp.|GLBRC107	98.387	92	Fungi	96.000	100
FOTU_72	Fungi	Ascomycota	Sordariomycetes	Sordariales					0	0	Fungi	95.960	99
FOTU_86	Fungi	Basidiomycota	Agaricomycetes	Auriculariales					0	0	Fungi	90.909	77
FOTU_443	Fungi	Ascomycota							0	0		0	0
FOTU_17	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Incertae_sedis			Acremonium_sclerotigenum|GLBRC76	100.000	80	Fungi	100.000	100
FOTU_68	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora chaetospira		0	0	Fungi	99.500	100
FOTU_214	Fungi	Ascomycota	Sordariomycetes						0	0	Fungi	98.710	77
FOTU_31	Fungi	Ascomycota	Sordariomycetes	Sordariales					0	0	Fungi	96.020	100
FOTU_205	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae				0	0	Fungi	98.522	100
FOTU_4059	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae				0	0	Fungi	95.500	100
FOTU_15	Fungi	Ascomycota	Dothideomycetes	Pleosporales				Fungal_endophyte|GLBRC119	100.000	90	Fungi	100.000	86
FOTU_24	Fungi							Mock_sp8	100.000	100	MockK	100.000	100
FOTU_13	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces		Talaromyces_pinophilus|GLBRC206	100.000	94	Fungi	99.000	100
